ID,ID_Ristow,ID_Khatchatrian,Page_Khatchatrian,Page_Khatchatrian_1982_Suppl,Pelagios_ID,Place_name_modern,Localisation,X_coordinates,Y_coordinates,Localisation_certainty,Localisation_notes,Certainty,Place_name_full_precisely_transcribed_from_Ristow,Near,Place_name_ancient,Place_name_alternative_forms,State_modern,Region_modern,Island,Region_ancient,Province_ancient,Date_Ristow,Built_after_or_in,Built_before_or_in,Date_century_from_ante_quem,Date_average,Date_century_from_average,Date_certainty,Separate_Building_or_Part_of_the_Church,Place_specification,Patrocinium,Building_orientation,Building_shape_1,Building_shape_2,Building_shape_3,Building_shape_note,Entrance_from,Entrance_room,Apse,Piscina_location,Piscina_shape_1,Piscina_shape_2,Piscina_shape_3,Piscina_shape_4,Piscina_shape_5,Piscina_shape_6,Piscina_shape_note,Additional_piscina,Monolithic_piscina,Piscina_steps_number_max,Piscina_steps_from_direction,Piscina_depth_cm,Piscina_depth_precise,Piscina_height_cm,Not_totally_full,Ciborium,Ciborium_supports_no,Plan_reference,Plan,Photo,Notes,
1,1,,,100,,Abd allāh Nirqi,"Abd Allāh Nirqi, Egypt",31.49,22.33,2,Abu Simbel Temples (6 km na východ),certain or very probable,"'Abdallāh Nirqi (Abdallah Nirq(u)i {Nubien}, N-Kirche",,,"'Abdallāh Nirqi, Abdallāh Nirqi, Abdallāh Nirqui",Egypt,,,Nubia,,MA (9-11),800,1099,11,950,10,,c,northern church,,SE,rectangle,,,,W,W,,,round,,,,,,,,y,,,50,,55,,,,"Godlewski 1979, 61, fig. 4f",,,"https://www.google.cz/search?q=Abd+All%C4%81h+Nirqi,+Egypt&tbm=isch&tbo=u&source=univ&sa=X&ved=0ahUKEwizl_7v1uTWAhUOmrQKHdG-AiYQsAQIOA&biw=1114&bih=504",
2,2,,,100,,Abdallāh Nirqi,"Abdallāh Nirqi, Egypt",31.49,22.33,2,Abu Simbel Temples (6 km na východ),certain or very probable,"'Abdallāh Nirqi (Abdallah Nirq(u)i {Nubien}, Zentralkirche",,,"'Abdallāh Nirqi, Abdallāh Nirqi, Abdallāh Nirqui",Egypt,,,Nubia,,8 (Mitte),725,774,8,750,8,,c,central church,,SE,rectangle,,,,W,"W, N",,,round,,,,,,,,y,,,24,,38,,,,"Godlewski 1979, 59, fig. 1f",,,"https://www.google.cz/search?q=Abd+All%C4%81h+Nirqi,+Egypt&tbm=isch&tbo=u&source=univ&sa=X&ved=0ahUKEwizl_7v1uTWAhUOmrQKHdG-AiYQsAQIOA&biw=1114&bih=504",
3,3,60,,107,,Abū Mīnā,"Abū Mīnā, Egypt",29.66,30.84,1,,certain or very probable,"Abū Mīnā (Karm Ab(o)u Mina/Abu Mena) {Mareotis}, Gruftkirche (Menaskirche); Phase: 1",,,"Abū Mīnā, Karm Abu Mina, Karm Abou Mina, Abu Mena",Egypt,,,Mareotis,,400-410 ,400,410,5,405,5,,c,crypt,,W,rectangle,,,,"2 N, E","N, S, E, W",,NE,round,,,,,,open access,1,,4,"E, W",,,,,,,"Müller-Wiener 1965, n. S. 134, pozn. 3; Grossmann 1978, taf. 13b; Grossmann v: ACA 11, 1851, fig. 3",,,,
4,4,60,,107,,Abū Mīnā,"Abū Mīnā, Egypt",29.66,30.84,1,,certain or very probable,"Abū Mīnā (Karm Ab(o)u Mina/Abu Mena) {Mareotis}, Gruftkirche (Menaskirche); Phase: 2",,,"Abū Mīnā, Karm Abu Mina, Karm Abou Mina, Abu Mena",Egypt,,,Mareotis,,6 (justinianisch),527,565,6,546,6,,c,crypt,,W,octogon,,,niches ~,"N, 2 S, E, W",,,M,round,,,,,,open access,1,,4,"E, W",115,,,,y,4,"Müller-Wiener 1965, n. S. 134, Abb. 3; Grossmann 1978, taf. 13b; Falla Gastelfranchi 1980, fig. 10. ",,,,
5,5,60,,107,,Abū Mīnā,"Abū Mīnā, Egypt",29.66,30.84,1,,certain or very probable,"Abū Mīnā (Karm Ab(o)u Mina/Abu Mena) {Mareotis}, Gruftkirche (Menaskirche); Phase: 3",,,"Abū Mīnā, Karm Abu Mina, Karm Abou Mina, Abu Mena",Egypt,,,Mareotis,,8,700,799,8,750,8,,c,crypt,,W,octogon,,,niches ~,"N, 2 S, E, W",,,M,round,,,,,,open access,,,4,"E, W",115,,,,y,4,"Müller-Wiener 1965, n. S. 134, Abb. 3; Grossmann 1978, taf. 13b.",,,,
6,6,45,,107,,Abū Mīnā,"Abū Mīnā, Egypt",29.66,30.84,1,,certain or very probable,"Abū Mīnā (Karm Ab(o)u Mina/Abu Mena) {Mareotis}, N-Kirche (früher auch ""Coemeterialbasilika"")",,,"Abū Mīnā, Karm Abu Mina, Karm Abou Mina, Abu Mena",Egypt,,,Mareotis,,7-9,600,899,9,750,8,,c,northern church (formerly cemetery basilica),,S,square,,,,"E, W","E, W",,M,round,,,,,,open access,,,2,"E, W",,,,,y,6,"Kaufmann 1910, 101, Abb. 46; Grossmann 1981, 168, fig. 6; Godlewski 1991, 199 (Abb. re.).",,,,
7,7,,,,,Abū Mīnā,"Abū Mīnā, Egypt",29.66,30.84,1,,certain or very probable,"Abū Mīnā (Karm Ab(o)u Mina/Abu Mena) {Mareotis}, E-Kirche",,,"Abū Mīnā, Karm Abu Mina, Karm Abou Mina, Abu Mena",Egypt,,,Mareotis,,6,500,599,6,550,6,,c,eastern church,,ENE,rectangle,,,,W,W,,E,round,,,,,,open access,,,2,"E, W",,,,,,,"Grossmann 1981, 165, fig. 5; Grossmann 1996, 52, Abb. 9.",,,,
8,8,,,,,Abū Mīnā,"Abū Mīnā, Egypt",29.66,30.84,1,,certain or very probable,"Abū Mīnā (Karm Ab(o)u Mina/Abu Mena) {Mareotis}, W-Kirchenkomplex; Phase: 1",,,"Abū Mīnā, Karm Abu Mina, Karm Abou Mina, Abu Mena",Egypt,,,Mareotis,,6,500,599,6,550,6,,c,western church complex,,N,rectangle,,,,"S, W",E,,M/E,round,,,,,,open access,,,2,W,,,,,,,"Abdel-Aziz Negm 1993, 131, fig. 1.",,,,
9,9,,,,,Abū Mīnā,"Abū Mīnā, Egypt",29.66,30.84,1,,certain or very probable,"Abū Mīnā (Karm Ab(o)u Mina/Abu Mena) {Mareotis}, W-Kirchenkomplex; Phase: 2",,,"Abū Mīnā, Karm Abu Mina, Karm Abou Mina, Abu Mena",Egypt,,,Mareotis,,6,500,599,6,550,6,,c,western church complex,,E,rectangle,,,,"2 N, W",N,,M,round,,,,,,open access,,,1,"W, E",,,,,y,4,"Abdel-Aziz Negm 1993, 131, fig. 1.",,,,
10,10,,,100,,Abou Ouda,"Abou Ouda, Egypt",31.68,30.65,1,,certain or very probable,Abū Oda (Abou Ouda) {Nubien},,,"Abū Oda, Abou Ouda",Egypt,,,Nubia,,8 (früher?),700,749,8,725,8,n,,,,SE,rectangle,,,,Offen,,,E,rectangle,,,,,,irregular,1,,,,50,,,,,,"Godlewski 1979, 61f., fig. 6f.",,,,
